Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),157/766,2.3036468567665106e-07,0.0010645152125118,0,0,1.6297217914507862,24.908019547174565,IFITM1;TFRC;CSF1;RTKN2;SCX;IRS2;FGF2;ETS1;STK11;NAMPT;AKT1;CYP1B1;PIM2;SOX9;IER5;JUNB;BRICD5;SOX4;IGFBP3;CLEC11A;FLT3LG;P3H3;RUNX1;SFRP4;EID2;RNF126;SFRP2;HGS;TIMELESS;ULK1;NUPR1;ATF5;BEX4;NOTCH1;CTBP1;MAZ;COX17;C1ORF56;PDGFA;TGFA;FOXO4;DPP4;SLC9A3R1;CYP27B1;ADGRG1;SCIN;ATG101;TRPM4;JAG2;LYN;TFAP2A;ZBTB17;JUN;XBP1;TFAP2C;TGFB2;JUND;TGFB1;TNFSF13;LIF;OSGIN1;FUZ;CDC6;INHBA;SMAD6;CHERP;FOSL1;BMP2;IL6;NR4A3;GDNF;BAMBI;IL7;ID2;BCL2;NOX4;CALR;MEIS3P1;MELTF;IL7R;RNF187;BTG3;COL18A1;PTPRU;CDKN1A;CXCL8;ELN;TGFB1I1;AKR1B1;ADRA1D;PTPRJ;CXCL1;TCIRG1;ING1;CXCL5;PPP1R9B;HHEX;ESM1;BCL7C;GPER1;BCL7B;NUP62;NCK2;SPEG;EMILIN1;HRAS;BOK;NKX3-1;KLF10;IL11;EDN1;KSR1;TSC22D1;PRMT1;NRG1;NGF;GREM1;IRF1;KIT;BIRC5;ARHGEF2;SGK1;ENG;HBEGF;CEBPA;LTK;CTF1;LRP5;PTN;DBF4B;THBS1;PTHLH;GNAI2;DNAJB2;SERTAD1;ERBB3;FRZB;PDPN;SH3BP4;ZNF503;CHRNA10;STX4;ROMO1;STX3;TP53I11;E2F7;CDKN2D;TBX1;STAT1;VEGFC;TBX5;SOD2;TBX3;EPOR;VEGFA;CLCF1;LIMS1
GO_Biological_Process_2023,Sprouting Angiogenesis (GO:0002040),22/52,5.260902169918219e-07,0.0012155314463596,0,0,4.563021964759836,65.97122758549799,SEMA5A;RAMP2;EGR3;TGFB1;YJEFN3;SRF;VEGFB;VEGFC;SEMA3E;FGF2;THBS1;LOXL2;JMJD6;VEGFA;GREM1;NR4A1;ESM1;AKT1;ADTRP;E2F7;ENG;E2F8
GO_Biological_Process_2023,Positive Regulation Of Angiogenesis (GO:0045766),37/119,1.1263826538837143e-06,0.0016950644994036,0,0,2.814413950473688,38.54761856541906,SEMA5A;GRN;RAMP2;CXCL8;SERPINE1;TWIST1;HSPB1;PIK3CD;ETS1;FGF2;THBS1;HK2;MYDGF;RRAS;MDK;ZC3H12A;CYP1B1;HMOX1;ITGB8;EMILIN1;PAK4;XBP1;SPHK1;WNT5A;PSG1;VEGFB;VEGFC;SIRT6;JMJD8;RUNX1;VEGFA;SFRP2;PKM;ADM2;NINJ1;CHI3L1;ANGPTL4
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),143/705,1.4672707201070705e-06,0.0016950644994036,0,0,1.6045375349841873,21.552319110723552,MTCH1;FCMR;TFRC;SCX;COMP;LGALS1;ARHGDIA;RPS6KA1;PIM1;AKT1;CYP1B1;PIM3;PIM2;SOX9;PHLDA1;SOX4;IER3;PHLDA3;IGFBP3;ACTN1;DAPK3;WNT5A;SCRIB;ATAD3A;PRLR;THOC6;SFRP4;SFRP2;FKBP8;PPIF;ALPK2;NUPR1;ATF5;SQSTM1;RNF122;NAIP;SLC27A4;BEX1;HTRA1;PSEN2;PRDX2;SOCS3;PRDX5;NUAK2;SCIN;UBB;BAG1;ABL2;PMAIP1;ZBTB7A;TFAP2A;PLK3;WNT10B;EGR1;JUN;PRELID1;XBP1;EGR3;GADD45B;CBX4;GADD45A;PLK2;SIAH1;FZD9;TNFRSF10C;OSGIN1;SMAD6;TNFRSF10D;HIGD2A;BMP2;IL6;GDNF;IL7;BCL3;BCL2;TNFSF9;MAP3K10;PANO1;CALR;MAP3K11;AVEN;PRR7;TRADD;HSPB1;FMN2;IER3IP1;PTMS;MYDGF;FLCN;VPS72;SMPD1;GPER1;NUP62;MLST8;EMILIN1;CTSD;BOK;HTATIP2;TNFRSF12A;TSC22D1;SPHK2;SPHK1;PAWR;FOXL2;NRG1;DNM2;GREM1;IRF3;AKT1S1;GAS1;BIRC5;TNFRSF25;ANGPTL4;GAS6;SGK1;CRYAB;BIRC3;LTK;USP27X;IFI6;THBS1;CLN3;TFPT;MIEN1;ERBB3;FRZB;PDPN;E2F1;IGF2BP1;BID;SNCA;SEMA4D;STAT1;STYK1;TBX3;VEGFA;PINK1;KRT18;BAX;ATP13A2;EVI2B;BCAR1;MAD2L1
GO_Biological_Process_2023,Negative Regulation Of Cellular Process (GO:0048523),114/537,1.8487174083628215e-06,0.0017085846288089,0,0,1.6950460860095091,22.376334658553564,SEMA5A;CDA;IFITM1;ETS1;STK11;CYP1B1;PIM2;PLXNC1;SOX4;IGFBP3;MUL1;P3H3;SFRP4;FRMD5;SFRP2;HGS;ULK1;NUPR1;ATF5;NOTCH1;CTBP1;TACSTD2;FOXO4;SLC9A3R1;CYP27B1;ADGRG1;BRINP1;SCIN;ATG101;PODXL;LPXN;LYN;TFAP2A;ZBTB17;CDT1;TGFB2;TGFB1;OSGIN1;FUZ;CDC6;INHBA;SMAD6;CHERP;BST2;NR4A1;BMP2;IL6;TMEM98;NOX4;PLXNB2;TGFBI;BTG3;COL18A1;PTPRU;CDKN1A;PPP1R13B;CXCL8;TGFB1I1;SUV39H1;AKR1B1;ADRA1D;PTPRJ;CXCL1;ING1;PPP1R9B;FLCN;MDK;CHMP1B;BCL7C;GPER1;BCL7B;NUP62;NCK2;DACT3;SPEG;EMILIN1;HRAS;NKX3-1;KLF10;PACRG;DUSP1;SPHK2;NRG1;NGF;WNT16;PSRC1;IRF1;CHMP6;CRYAB;TNFRSF21;CEBPA;TP53I13;THBS1;PTHLH;DNAJB2;SERTAD3;WNT11;ERBB3;FRZB;CCDC85B;PDPN;SH3BP4;ZNF503;MSX1;TP53I11;JAM2;E2F7;CDKN2D;TBX1;SEMA4D;NR1H2;TBX5;SOD2;TAF6
GO_Biological_Process_2023,Positive Regulation Of Vasculature Development (GO:1904018),33/104,2.549784209270029e-06,0.0019637588051728,0,0,2.8966931359147248,37.30796453392693,SEMA5A;GRN;RAMP2;CXCL8;SERPINE1;TWIST1;HSPB1;PIK3CD;ETS1;FGF2;THBS1;HK2;MYDGF;RRAS;ZC3H12A;CYP1B1;HMOX1;ITGB8;EMILIN1;PAK4;XBP1;SPHK1;WNT5A;PSG1;VEGFB;VEGFC;RUNX1;VEGFA;SFRP2;ADM2;NINJ1;CHI3L1;ANGPTL4
GO_Biological_Process_2023,Regulation Of Fat Cell Differentiation (GO:0045598),26/75,4.735793280409993e-06,0.0031263001069677,0,0,3.3027630196386024,40.49306794173662,CEBPB;LRP5;GPS2;LRP3;ZFP36;CCDC85B;FRZB;GPER1;NOCT;ZC3H12A;E2F1;AKT1;TRPM4;WNT10B;XBP1;TGFB1;WNT5A;SIRT6;NR1D1;BMP2;IL6;SFRP2;ID2;LEP;GNB3;TRIB3
GO_Biological_Process_2023,Nervous System Development (GO:0007399),94/433,5.568833446273726e-06,0.0032166974194038,0,0,1.7396870305183625,21.04729902582059,SEMA5A;MESP1;DOC2A;LDB1;SLC2A1;CXCL1;VLDLR;FGF2;NRGN;IRF2BPL;EDNRB;CDH2;NAGLU;MDK;SMPD1;BOC;CHAC1;SOX4;DACT1;APC2;KIRREL3;EMX2;MAP1S;APLP1;PAX6;NRG1;THOC6;DNM3;SMO;ADGRB2;NINJ1;HOXB2;ZNF358;PAFAH1B3;SHANK3;NAIP;PRPS1;IGSF8;SHC3;NLGN2;C3ORF70;NTN5;NRXN2;WDR62;PTN;NPAS1;KALRN;DHX30;EFNB3;SCIN;ERBB3;DVL1;IGF2BP1;RAB29;SPOCK1;NPTX1;FARP1;ARNT2;MARCKSL1;EGR2;TGFB1;FZD5;BDNF;SIAH1;LIMK1;FZD9;RITA1;LSAMP;CRIM1;CABLES1;FUZ;INHBA;L1CAM;PCDHB11;PCDHB10;VAX2;CHERP;VEGFA;MARCKS;NFASC;PCDHB2;GDNF;ARTN;DLG4;PCDHB16;CSPG5;DCHS1;APBA1;MELTF;FGF13;PCDHB9;MDGA1;FGF11;SDK2
GO_Biological_Process_2023,Negative Regulation Of Signal Transduction (GO:0009968),64/267,6.7129772460627175e-06,0.0034467408726728,0,0,1.9719501593740945,23.48882122600147,GSK3A;CXCL8;INPPL1;TNFAIP3;PTPRJ;FGF2;CYP26B1;HHEX;HEY1;CREB3L1;SMPD1;AKT1;DACT3;IL12A;EMILIN1;CHAC1;DACT1;NKX3-1;EGFL7;PTGIR;ARRDC1;IGFBP3;NRG1;MAPK8IP2;HIC1;DKK3;SIGIRR;SFRP4;MMP14;SFRP2;HGS;CARD16;TRIB1;MDFI;SLC27A4;NDRG4;NXN;MAZ;TWIST1;GPS2;THBS1;SLC9A3R1;SOCS1;ERBB3;FRZB;INPP5D;CCL5;ZBTB7A;SNCA;LYN;GDF15;BDNF;GPR108;RITA1;NR0B1;NR1D1;SULF1;SULF2;NR4A2;PTPRE;BMP2;BCL2;CALR;GRINA
GO_Biological_Process_2023,Negative Regulation Of Cell Population Proliferation (GO:0008285),84/379,7.565637715786659e-06,0.003496081188465,0,0,1.784512241054614,21.04277903847929,CDKN1C;BTG3;COL18A1;PTPRU;IFITM1;CDKN1A;CXCL8;TGFB1I1;AKR1B1;TNFAIP3;PTPRJ;ADRA1D;CXCL1;ING1;ETS1;FLCN;STK11;GPER1;NUP62;NCK2;CYP1B1;SPEG;IL12A;SOX9;PIM2;HRAS;SOX4;NKX3-1;KLF10;PTGIR;IGFBP3;WNT5A;NRG1;P3H3;NGF;GREM1;SFRP4;SFRP2;HGS;IRF1;ULK1;NUPR1;ATF5;TRIB1;CEBPA;NDRG4;NOTCH1;CTBP1;NLRC3;FOXO4;THBS1;PTHLH;DNAJB2;CYP27B1;SLC9A3R1;ADGRG1;SCIN;FRZB;ATG101;PDPN;E2F1;HMOX1;SH3BP4;ZNF503;TP53I11;E2F7;LYN;CDKN2D;TFAP2A;ZBTB17;TGFB2;TGFB1;FUZ;CDC6;INHBA;SMAD6;SOD2;TBX5;TBX3;CHERP;PARP10;BMP2;IL6;NOX4
