Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Branched-Chain Amino Acid Catabolic Process (GO:0009083),9/17,1.1220901385841028e-05,0.0444459903893163,0,0,10.177601809954751,116.00158112684107,MCCC2;ALDH6A1;HIBADH;IVD;BCKDHB;MCCC1;DBT;HIBCH;ACAT1
GO_Biological_Process_2023,Branched-Chain Amino Acid Metabolic Process (GO:0009081),8/15,3.303617987729351e-05,0.0654281542469797,0,0,10.334529791816225,106.63071973145496,MCCC2;IVD;BCKDHB;MCCC1;DBT;PCCB;BCAT1;HIBCH
GO_Biological_Process_2023,Regulation Of Basement Membrane Organization (GO:0110011),4/5,0.0004570231850500194,0.4931021521232067,0,0,36.11033099297894,277.71648266828856,LAMA2;LAMB1;LAMC1;NID1
GO_Biological_Process_2023,acetyl-CoA Metabolic Process (GO:0006084),7/16,0.000497957235166076,0.4931021521232067,0,0,7.028907863162007,53.45481869857044,NUDT7;ACSS2;HMGCS1;PPCS;ACSS1;ACACB;ACAT1
GO_Biological_Process_2023,Cellular Response To Prostaglandin Stimulus (GO:0071379),5/9,0.0008834783681703168,0.699891563264525,0,0,11.2882589061716,79.3750151944114,PTGER4;PTGFR;SFRP1;PTGER2;AKR1C2
GO_Biological_Process_2023,Marginal Zone B Cell Differentiation (GO:0002315),4/6,0.0012620900043366,0.7900994163875844,0,0,18.05416248746239,120.51128543104656,DOCK10;NOTCH2;DOCK11;PTK2B
GO_Biological_Process_2023,Regulation Of Bone Mineralization (GO:0030500),14/58,0.0013962877845779,0.7900994163875844,0,0,2.879994501466276,18.932905714832348,SRGN;FBN2;OSR2;MEF2C;PKDCC;SGMS2;SLC8A1;ACVR2A;BMP4;P2RX7;ANKH;ENPP1;PTK2B;GPM6B
GO_Biological_Process_2023,Embryonic Digestive Tract Development (GO:0048566),7/19,0.0016760533948123,0.8298559371064413,0,0,5.27080194207266,33.68734718099577,PDGFRA;PKDCC;SIX2;RARB;PCSK5;GLI3;GLI2
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),19/93,0.001886783250703,0.8303942728927424,0,0,2.3259904674760663,14.590663465055684,EIF4A2;RPL4;RPL30;RPL21;RPS8;RPS6;RPL11;RPL23A;RPL10A;RPL7;RPS15A;RPS18;RPL27A;RPL36;RPL22L1;RPL37;RPL26;RPL39;RPS24
GO_Biological_Process_2023,succinyl-CoA Metabolic Process (GO:0006104),4/8,0.0049953898913524,0.999995683364019,0,0,9.026078234704112,47.831353142021904,NUDT7;OGDH;DLST;SUCLG2
