Ref ID,locus,Control,Treated,FPKM_Control,FPKM_U1,log2FC U1 Vs C,test_stat,p_value,q_value,Gene Symbol
NM_000016,chr1:75724346-75763678,NHHW161152,U1,6.42683,9.35583,0.542,6.621,0.000,0.000,ACADM
NM_000017,chr12:120725737-120740008,NHHW161152,U1,8.22129,9.11939,0.150,1.635,0.044,0.052,ACADS
NM_000018,chr17:7189890-7225267,NHHW161152,U1,248.728,105.572,-1.236,-34.901,0.000,0.000,ACADVL
NM_000019,chr11:108121530-108148164,NHHW161152,U1,22.7193,53.6205,1.239,29.579,0.000,0.000,ACAT1
NM_000020,chr12:51907417-51923361,NHHW161152,U1,11.5153,43.3621,1.913,39.739,0.000,0.000,ACVRL1
NM_000021,chr14:73136434-73223691,NHHW161152,U1,7.52971,9.18407,0.287,5.500,0.000,0.000,PSEN1
NM_000022,chr20:44619518-44651758,NHHW161152,U1,41.5668,7.72819,-2.427,-28.656,0.000,0.000,ADA
NM_000023,chr17:50165984-50175932,NHHW161152,U1,0.619661,4.70998,2.926,8.854,0.000,0.000,SGCA
NM_000024,chr5:148826592-148828634,NHHW161152,U1,7.58718,2.43236,-1.641,-12.849,0.000,0.000,ADRB2
NM_000026,chr22:40346499-40366748,NHHW161152,U1,24.0643,34.7068,0.528,9.229,0.000,0.000,ADSL
NM_000027,chr4:177430774-177442503,NHHW161152,U1,6.1494,4.51759,-0.445,-4.049,0.000,0.000,AGA
NM_000028,chr1:99850083-99924023,NHHW161152,U1,1.08252,3.15922,1.545,15.202,0.000,0.000,AGL
NM_000029,chr1:230702522-230714590,NHHW161152,U1,0.308519,0.549349,0.832,2.451,0.009,0.011,AGT
NM_000031,chr9:113386311-113401338,NHHW161152,U1,13.975,24.6519,0.819,15.034,0.000,0.000,ALAD
NM_000033,chrX:153724867-153744762,NHHW161152,U1,11.3732,7.9171,-0.523,-9.117,0.000,0.000,ABCD1
NM_000034,chr16:30053089-30070420,NHHW161152,U1,1585.33,388.434,-2.029,-59.961,0.000,0.000,ALDOA
NM_000037,chr8:41653224-41896762,NHHW161152,U1,1.60596,0.279284,-2.524,-12.824,0.000,0.000,ANK1
NM_000038,chr5:112707504-112846239,NHHW161152,U1,1.56151,3.0612,0.971,12.917,0.000,0.000,APC
NM_000041,chr19:44905748-44909395,NHHW161152,U1,8.01005,38.8328,2.277,23.334,0.000,0.000,APOE
NM_000043,chr10:88932683-89017061,NHHW161152,U1,15.3798,17.2654,0.167,3.195,0.000,0.000,FAS
NM_000044,chrX:67544031-67730619,NHHW161152,U1,0.910404,4.21802,2.212,23.784,0.000,0.000,AR
NM_000046,chr5:78777210-78986534,NHHW161152,U1,9.58869,4.43509,-1.112,-16.091,0.000,0.000,ARSB
NM_000047,chrX:2934631-2968310,NHHW161152,U1,1.35557,0.420289,-1.689,-5.546,0.000,0.000,ARSE
NM_000048,chr7:66075788-66093342,NHHW161152,U1,54.7935,28.5012,-0.943,-20.024,0.000,0.000,ASL
NM_000049,chr17:3440010-3557995,NHHW161152,U1,2.70669,4.21167,0.638,3.729,0.000,0.000,ASPA
NM_000050,chr9:130444706-130501274,NHHW161152,U1,160.321,173.294,0.112,2.945,0.000,0.000,ASS1
NM_000051,chr11:108222831-108369099,NHHW161152,U1,3.53313,6.34187,0.844,20.023,0.000,0.000,ATM
NM_000052,chrX:77910655-78050395,NHHW161152,U1,1.28358,1.70603,0.410,3.728,0.000,0.000,ATP7A
NM_000056,chr6:80106609-80346270,NHHW161152,U1,3.80481,9.72189,1.353,11.725,0.000,0.000,BCKDHB
